objectid,id,address,terminal_num,lat,long,nbikes,empty_docks
177403879,177,N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,5,6
177403880,178,Jefferson Memorial,31249,38.879819,-77.037413,6,13
177403881,179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,7,8
177403882,180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,1,10
177403883,181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,7,8
177403884,182,Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,10,1
177403885,183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,12,6
177403886,185,20th & L St NW,31250,38.903584,-77.044789,3,16
177403887,186,12th & L St NW,31251,38.903819,-77.0284,2,15
177403888,187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,3,15
177403889,188,19th & K St NW,31253,38.902204,-77.04337,3,19
177403890,189,Prince St & Union St,31041,38.803124,-77.040363,9,9
177403891,190,Market Square / King St & Royal St,31042,38.804718,-77.043363,3,11
177403892,191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,9,6
177403893,192,King St & Patrick St,31044,38.805317,-77.049883,12,3
177403894,193,15th & K St NW,31254,38.902,-77.03353,12,14
177403895,194,Commerce St & Fayette St,31045,38.805648,-77.05293,10,5
177403896,195,Henry St & Pendleton St,31046,38.811456,-77.050276,10,7
177403897,196,Braddock Rd Metro,31047,38.814577,-77.052808,4,24
177403898,197,King St Metro South,31048,38.805767,-77.06072,6,17
177403899,198,24th & N St NW,31255,38.9066,-77.05152,14,0
177403900,199,10th & E St NW,31256,38.895914,-77.026064,12,3
177403901,200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,2,13
177403902,201,Utah St & 11th St N,31049,38.883669,-77.113905,2,8
177403903,202,Barton St & 10th St N,31050,38.884961,-77.08777,6,4
177403904,203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,7,3
177403905,204,Lincoln Memorial,31258,38.888251,-77.049426,23,0
177403906,206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,5,10
177403907,207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,12,6
177403908,208,39th & Veazey St NW,31308,38.943837,-77.077078,2,12
177403909,209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,10,5
177403910,210,M St & Delaware Ave NE,31627,38.905707,-77.003041,17,4
177403911,211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,2,13
177403912,212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,9,2
177403913,213,28th St S & S Meade St,31055,38.846222,-77.069275,9,6
177403914,214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,4,17
177403915,215,5th & Kennedy St NW,31403,38.956556,-77.019814,10,5
177403916,216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,11,8
177403917,217,14th & Upshur St NW,31406,38.942016,-77.032652,14,5
177403918,218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,8,11
177403919,219,S Troy St & 26th St S,31056,38.847977,-77.075104,3,8
177403920,220,S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,4,7
177403921,221,S Oakland St & Columbia Pike,31058,38.860789,-77.09586,8,3
177403922,222,S Four Mile Run & Walter Reed Dr,31059,38.84736,-77.095431,8,3
177403923,223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,9,6
177403924,224,S Kenmore & 24th St S,31061,38.848454,-77.084918,5,6
177403925,225,13th St & Eastern Ave,32006,38.987,-77.029417,3,12
177403926,226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,7,12
177403927,227,S George Mason Dr & 13th St S,31062,38.854691,-77.100555,5,6
177403928,228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,10,13
177403929,229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,5,14
177403930,230,15th & Euclid St  NW,31117,38.92333,-77.0352,0,15
177403931,231,8th & East Capitol St NE,31629,38.889988,-76.995193,6,5
177403932,232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,10,5
177403933,233,15th & East Capitol St NE,31630,38.889908,-76.983326,2,9
177403934,234,8th & F St NE,31631,38.897274,-76.994749,9,5
177403935,235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,5,10
177403936,236,15th & F St NE,31632,38.897195,-76.983575,8,10
177403937,237,12th & Irving St NE,31511,38.928644,-76.990955,4,11
177403938,239,Alabama & MLK Ave SE,31800,38.843222,-76.999388,4,7
177403939,240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,6,5
177403940,241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,9,5
177403941,242,12th & U St NW,31268,38.916787,-77.028139,7,24
177403942,243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,5,6
177403943,244,S Stafford & 34th St S,31064,38.834108,-77.087323,8,3
177403944,245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,8,3
177403945,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,9,2
177403946,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,12,2
177403947,248,8th & D St NW,31270,38.894851,-77.02324,9,6
177403948,249,3rd & Elm St NW,31118,38.917622,-77.01597,7,7
177403949,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,0,19
177403950,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,21,6
177403951,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,2,28
177403952,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,4,11
177403953,254,Hamlin & 7th St NE,31514,38.927497,-76.997194,4,10
